[23:04:26] === 5min BTC 单笔交易  [DRY-RUN] ===
[23:04:26] 入场过滤: 窗口BTC波动<$25 且 冷门方ask<0.30（开窗后105-135s）｜止盈 +100%｜未止盈拿到结算
[23:04:26] BTC喂价: Chainlink on Polygon（https://polygon-bor-rpc.publicnode.com）｜日志: data\logs\trade5m_20260910_230426.log
[23:04:59] [窗口 1] 起点 1789052700（本地 23:04:59），开始持续监测 …
[23:05:02] 市场: Bitcoin Up or Down - September 10, 11:05AM-11:10AM ET  (minSize=5)
[23:07:10] t+  128s  BTC=77295.420 range= 71.909  Up  0.760/ 0.770  Down  0.230/ 0.240  [盘口=WS 簿龄=0.4s/10s WS事件=1761(簿1204/增量0) 距上次WS=0.4s] [链上round=55340232221132494130 age=25s]
[23:07:13] t+  132s  BTC=77295.420 range= 71.909  Up  0.760/ 0.770  Down  0.230/ 0.240  [盘口=WS 簿龄=0.2s/10s WS事件=1823(簿1246/增量0) 距上次WS=0.0s] [链上round=55340232221132494130 age=29s]
[23:07:15] t+  136s  BTC=77295.420 range= 71.909  Up  0.700/ 0.710  Down  0.290/ 0.300  [盘口=WS 簿龄=0.2s/10s WS事件=1852(簿1266/增量0) 距上次WS=0.2s] [链上round=55340232221132494130 age=31s]
[23:07:24] t+  138s  BTC=77319.449 range= 71.909  Up  0.740/ 0.750  Down  0.250/ 0.260  [盘口=WS 簿龄=1.2s/10s WS事件=1911(簿1306/增量0) 距上次WS=1.2s] [链上round=55340232221132494131 age=7s]
[23:07:27] t+  147s  BTC=77319.449 range= 71.909  Up  0.620/ 0.660  Down  0.340/ 0.380  [盘口=WS 簿龄=0.2s/10s WS事件=1935(簿1322/增量0) 距上次WS=0.0s] [链上round=55340232221132494131 age=10s]
[23:07:31] t+  150s  BTC=77319.449 range= 71.909  Up  0.720/ 0.730  Down  0.270/ 0.280  [盘口=WS 簿龄=0.1s/10s WS事件=2005(簿1370/增量0) 距上次WS=0.1s] [链上round=55340232221132494131 age=14s]
[23:07:37] t+  154s  BTC=77319.449 range= 71.909  Up  0.760/ 0.770  Down  0.230/ 0.240  [盘口=WS 簿龄=0.1s/10s WS事件=2090(簿1428/增量0) 距上次WS=0.1s] [链上round=55340232221132494131 age=20s]
[23:07:41] t+  160s  BTC=77319.449 range= 71.909  Up  0.840/ 0.850  Down  0.150/ 0.160  [盘口=WS 簿龄=0.2s/10s WS事件=2178(簿1488/增量0) 距上次WS=0.2s] [链上round=55340232221132494131 age=23s]
[23:07:44] t+  163s  BTC=77319.449 range= 71.909  Up  0.770/ 0.780  Down  0.220/ 0.230  [盘口=WS 簿龄=0.1s/10s WS事件=2229(簿1524/增量0) 距上次WS=0.1s] [链上round=55340232221132494131 age=27s]
[23:07:47] t+  167s  BTC=77319.449 range= 71.909  Up  0.750/ 0.760  Down  0.240/ 0.250  [盘口=WS 簿龄=0.2s/10s WS事件=2280(簿1558/增量0) 距上次WS=0.1s] [链上round=55340232221132494131 age=29s]
[23:07:50] t+  169s  BTC=77319.449 range= 71.909  Up  0.770/ 0.780  Down  0.220/ 0.230  [盘口=WS 簿龄=0.3s/10s WS事件=2310(簿1578/增量0) 距上次WS=0.2s] [链上round=55340232221132494131 age=32s]
[23:07:53] t+  172s  BTC=77323.984 range= 71.909  Up  0.790/ 0.800  Down  0.200/ 0.210  [盘口=WS 簿龄=0.2s/10s WS事件=2328(簿1590/增量0) 距上次WS=0.2s] [链上round=55340232221132494132 age=3s]
[23:07:56] t+  176s  BTC=77323.984 range= 71.909  Up  0.750/ 0.760  Down  0.240/ 0.250  [盘口=WS 簿龄=0.0s/10s WS事件=2363(簿1614/增量0) 距上次WS=0.0s] [链上round=55340232221132494132 age=6s]
[23:08:00] t+  179s  BTC=77323.984 range= 71.909  Up  0.780/ 0.800  Down  0.200/ 0.220  [盘口=WS 簿龄=0.0s/10s WS事件=2411(簿1648/增量0) 距上次WS=0.0s] [链上round=55340232221132494132 age=10s]
[23:08:03] t+  183s  BTC=77323.984 range= 71.909  Up  0.780/ 0.790  Down  0.210/ 0.220  [盘口=WS 簿龄=0.3s/10s WS事件=2456(簿1676/增量0) 距上次WS=0.3s] [链上round=55340232221132494132 age=12s]
[23:08:07] t+  185s  BTC=77323.984 range= 71.909  Up  0.680/ 0.690  Down  0.300/ 0.310  [盘口=REST 簿龄=无/10s WS事件=2467(簿1684/增量0) 距上次WS=2.9s] [链上round=55340232221132494132 age=16s]
[23:08:10] t+  189s  BTC=77323.984 range= 71.909  Up  0.690/ 0.700  Down  0.300/ 0.310  [盘口=WS 簿龄=0.3s/10s WS事件=2507(簿1712/增量0) 距上次WS=0.3s] [链上round=55340232221132494132 age=20s]
[23:08:14] t+  193s  BTC=77323.984 range= 71.909  Up  0.640/ 0.680  Down  0.320/ 0.360  [盘口=WS 簿龄=0.6s/10s WS事件=2529(簿1726/增量0) 距上次WS=0.3s] [链上round=55340232221132494132 age=24s]
[23:08:17] t+  197s  BTC=77323.984 range= 71.909  Up  0.650/ 0.660  Down  0.340/ 0.350  [盘口=WS 簿龄=0.1s/10s WS事件=2562(簿1750/增量0) 距上次WS=0.1s] [链上round=55340232221132494132 age=26s]
[23:08:22] t+  199s  BTC=77323.984 range= 71.909  Up  0.640/ 0.660  Down  0.340/ 0.360  [盘口=WS 簿龄=0.2s/10s WS事件=2604(簿1780/增量0) 距上次WS=0.2s] [链上round=55340232221132494132 age=31s]
[23:08:26] t+  204s  BTC=77299.284 range= 71.909  Up  0.660/ 0.680  Down  0.320/ 0.340  [盘口=WS 簿龄=0.1s/10s WS事件=2637(簿1802/增量0) 距上次WS=0.1s] [链上round=55340232221132494133 age=3s]
[23:08:29] t+  209s  BTC=77299.284 range= 71.909  Up  0.680/ 0.690  Down  0.310/ 0.320  [盘口=WS 簿龄=0.4s/10s WS事件=2668(簿1822/增量0) 距上次WS=0.2s] [链上round=55340232221132494133 age=5s]
[23:08:32] t+  211s  BTC=77299.284 range= 71.909  Up  0.780/ 0.790  Down  0.210/ 0.220  [盘口=WS 簿龄=0.1s/10s WS事件=2721(簿1858/增量0) 距上次WS=0.1s] [链上round=55340232221132494133 age=9s]
[23:08:35] t+  215s  BTC=77299.284 range= 71.909  Up  0.740/ 0.750  Down  0.250/ 0.260  [盘口=WS 簿龄=0.2s/10s WS事件=2788(簿1904/增量0) 距上次WS=0.0s] [链上round=55340232221132494133 age=12s]
[23:08:38] t+  218s  BTC=77299.284 range= 71.909  Up  0.770/ 0.780  Down  0.220/ 0.230  [盘口=WS 簿龄=0.1s/10s WS事件=2927(簿1998/增量0) 距上次WS=0.1s] [链上round=55340232221132494133 age=15s]
[23:08:42] t+  221s  BTC=77299.284 range= 71.909  Up  0.870/ 0.880  Down  0.120/ 0.130  [盘口=WS 簿龄=0.1s/10s WS事件=3020(簿2062/增量0) 距上次WS=0.1s] [链上round=55340232221132494133 age=18s]
[23:08:44] t+  224s  BTC=77299.284 range= 71.909  Up  0.860/ 0.870  Down  0.130/ 0.140  [盘口=WS 簿龄=0.0s/10s WS事件=3147(簿2148/增量0) 距上次WS=0.0s] [链上round=55340232221132494133 age=20s]
[23:08:46] t+  226s  BTC=77299.284 range= 71.909  Up  0.890/ 0.900  Down  0.100/ 0.110  [盘口=WS 簿龄=0.0s/10s WS事件=3217(簿2196/增量0) 距上次WS=0.0s] [链上round=55340232221132494133 age=23s]
